traceid,prb_id,vantageCC,vantageASN,destination,destination_ip,destCC,hostCC,destASN,hostCo,remote,interCC,hopCC,hopCCdb,finalASN,rtt
12021255,14945,GH,3491,Ghana.gov.gh,197.253.124.60,GH,GH,37313,GGoC1-AS,0,1,GH,GH,37313,195.046
12021255,14945,GH,3491,Ghana.gov.gh,197.253.124.60,GH,GH,37313,GGoC1-AS,0,1,GH,GH,37313,193.83
12021255,14945,GH,3491,Ghana.gov.gh,197.253.124.60,GH,GH,37313,GGoC1-AS,0,1,GH,GH,37313,304.175
12021255,33031,GH,327814,Ghana.gov.gh,197.253.124.60,GH,GH,37313,GGoC1-AS,0,1,GH,GH,37313,98.569
12021255,33031,GH,327814,Ghana.gov.gh,197.253.124.60,GH,GH,37313,GGoC1-AS,0,1,GH,GH,37313,99.306
12021255,33031,GH,327814,Ghana.gov.gh,197.253.124.60,GH,GH,37313,GGoC1-AS,0,1,GH,GH,37313,98.728
12021255,4274,GH,29614,Ghana.gov.gh,197.253.124.60,GH,GH,37313,GGoC1-AS,0,1,GH,GH,37313,100.473
12021255,4274,GH,29614,Ghana.gov.gh,197.253.124.60,GH,GH,37313,GGoC1-AS,0,1,GH,GH,37313,100.381
12021255,4274,GH,29614,Ghana.gov.gh,197.253.124.60,GH,GH,37313,GGoC1-AS,0,1,GH,GH,37313,100.31
12021256,14945,GH,3491,Energycom.gov.gh,192.230.66.188,US,US,19551,Incapsula Inc,1,1,US,US,19551,167.426
12021256,14945,GH,3491,Energycom.gov.gh,192.230.66.188,US,US,19551,Incapsula Inc,1,1,US,US,19551,167.426
12021256,14945,GH,3491,Energycom.gov.gh,192.230.66.188,US,US,19551,Incapsula Inc,1,1,US,US,19551,167.355
12021256,33031,GH,327814,Energycom.gov.gh,192.230.66.188,US,US,19551,Incapsula Inc,1,1,US,US,19551,178.334
12021256,33031,GH,327814,Energycom.gov.gh,192.230.66.188,US,US,19551,Incapsula Inc,1,1,US,US,19551,178.261
12021256,33031,GH,327814,Energycom.gov.gh,192.230.66.188,US,US,19551,Incapsula Inc,1,1,US,US,19551,178.343
12021256,4274,GH,29614,Energycom.gov.gh,192.230.74.188,US,US,19551,Incapsula Inc,1,1,US,US,19551,174.118
12021256,4274,GH,29614,Energycom.gov.gh,192.230.74.188,US,US,19551,Incapsula Inc,1,1,US,US,19551,173.8
12021256,4274,GH,29614,Energycom.gov.gh,192.230.74.188,US,US,19551,Incapsula Inc,1,1,US,US,19551,173.435
12021257,14945,GH,3491,Mofep.gov.gh,176.9.206.203,DE,DE,24940,Hetzner Online GmbH,1,1,DE,DE,24940,112.749
12021257,14945,GH,3491,Mofep.gov.gh,176.9.206.203,DE,DE,24940,Hetzner Online GmbH,1,1,DE,DE,24940,112.664
12021257,14945,GH,3491,Mofep.gov.gh,176.9.206.203,DE,DE,24940,Hetzner Online GmbH,1,1,DE,DE,24940,112.701
